file,n,a,recursion calls,time
graf_10_5.txt,10,5,115,0.00013593
graf_10_6b.txt,10,5,158,0.00699702
graf_10_7.txt,10,5,206,0.00770061
graf_15_14.txt,15,5,5990,0.00645705
graf_20_7.txt,20,7,5535,0.00152065
graf_20_7.txt,20,10,5628,0.00334884
graf_20_12.txt,20,10,17379,0.00476989
graf_20_17.txt,20,10,59182,0.00298345
graf_30_10.txt,30,10,370831,0.036411
graf_30_10.txt,30,15,328478,0.0657218
graf_30_20.txt,30,15,4011800,0.321835
graf_32_22.txt,32,10,9294131,0.587601
graf_32_25.txt,32,12,26570908,1.60171
graf_35_25.txt,35,12,90505714,5.73599
graf_35_25.txt,35,17,68918082,6.07222
graf_40_8.txt,40,15,2690770,0.422758
graf_40_8.txt,40,20,1481978,0.34287
graf_40_15.txt,40,15,75201953,8.10201
graf_40_15.txt,40,20,46390866,6.37945
graf_40_25.txt,40,20,527679964,60.2925
